epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,9648.62,1.23526,0.86748,1.29735,0.91136,0.90201,0.94281,0.6304,1.19448,0.5676,1.19642,0.0034066,0.0034066,0.0034066
68,9792.38,1.23417,0.87199,1.29709,0.92029,0.89818,0.94412,0.63215,1.19,0.5653,1.19464,0.0033067,0.0033067,0.0033067
69,9936.34,1.23155,0.85742,1.29384,0.91596,0.9012,0.9445,0.63231,1.19241,0.56154,1.19658,0.0032068,0.0032068,0.0032068
70,10080.4,1.23071,0.86488,1.30183,0.92231,0.89954,0.94465,0.6335,1.19153,0.56142,1.20273,0.0031069,0.0031069,0.0031069
71,10224,1.23231,0.85885,1.29569,0.91299,0.90486,0.94407,0.6332,1.19312,0.56176,1.20281,0.003007,0.003007,0.003007
72,10368,1.23177,0.85044,1.29453,0.9149,0.90336,0.94425,0.63432,1.19191,0.56087,1.19881,0.0029071,0.0029071,0.0029071
73,10511.8,1.21442,0.85204,1.28776,0.92461,0.89689,0.94455,0.63364,1.19201,0.559,1.19623,0.0028072,0.0028072,0.0028072
74,10655.7,1.22732,0.86222,1.29506,0.91996,0.90383,0.94507,0.63326,1.19067,0.55652,1.19421,0.0027073,0.0027073,0.0027073
75,10799.5,1.2169,0.84171,1.2862,0.92149,0.89909,0.94454,0.63415,1.18965,0.55707,1.19325,0.0026074,0.0026074,0.0026074
76,10946,1.21137,0.84508,1.28674,0.92124,0.90022,0.94419,0.63371,1.19157,0.5559,1.19496,0.0025075,0.0025075,0.0025075
77,11090.2,1.21651,0.84075,1.28875,0.92195,0.89883,0.94411,0.6349,1.18975,0.55579,1.19358,0.0024076,0.0024076,0.0024076
78,11234.3,1.20629,0.83866,1.28195,0.92191,0.89973,0.94435,0.63656,1.18469,0.55377,1.19068,0.0023077,0.0023077,0.0023077
79,11378,1.20855,0.84088,1.28491,0.9242,0.89907,0.94556,0.63775,1.18381,0.55228,1.18792,0.0022078,0.0022078,0.0022078
80,11521.7,1.20055,0.82981,1.27524,0.92578,0.8986,0.94578,0.63763,1.185,0.55017,1.18697,0.0021079,0.0021079,0.0021079
81,11665.5,1.2031,0.82605,1.27689,0.92364,0.90038,0.94523,0.63681,1.18444,0.5512,1.18621,0.002008,0.002008,0.002008
82,11809.4,1.20697,0.83255,1.28027,0.92007,0.9033,0.94539,0.63638,1.1837,0.55101,1.18468,0.0019081,0.0019081,0.0019081
83,11953.6,1.1969,0.82181,1.27469,0.92228,0.9016,0.94549,0.63646,1.18559,0.54914,1.18765,0.0018082,0.0018082,0.0018082
84,12098.3,1.19878,0.82307,1.27612,0.91241,0.91134,0.94605,0.63761,1.18254,0.54827,1.1855,0.0017083,0.0017083,0.0017083
85,12242.6,1.19248,0.81981,1.27071,0.92489,0.90122,0.94578,0.63718,1.18408,0.54681,1.18606,0.0016084,0.0016084,0.0016084
86,12386.7,1.1904,0.82064,1.26984,0.92524,0.89933,0.94597,0.63713,1.18469,0.54759,1.18598,0.0015085,0.0015085,0.0015085
87,12530.8,1.19534,0.82021,1.27254,0.92058,0.90304,0.94559,0.63705,1.1833,0.54645,1.18578,0.0014086,0.0014086,0.0014086
88,12674.7,1.19048,0.81044,1.26632,0.9233,0.9017,0.94601,0.63772,1.18224,0.54512,1.18472,0.0013087,0.0013087,0.0013087
89,12818.8,1.19104,0.81411,1.26924,0.92322,0.90092,0.94601,0.63839,1.18112,0.54521,1.18291,0.0012088,0.0012088,0.0012088
90,12962.9,1.18267,0.80719,1.26272,0.92255,0.90229,0.94565,0.63882,1.18153,0.54479,1.18176,0.0011089,0.0011089,0.0011089
91,13103.2,1.02962,0.54726,1.1652,0.92189,0.90298,0.94563,0.63858,1.18048,0.54514,1.18072,0.001009,0.001009,0.001009
92,13243.8,1.01867,0.53668,1.15659,0.92308,0.90289,0.94552,0.63863,1.17976,0.54614,1.18084,0.0009091,0.0009091,0.0009091
93,13384,1.01755,0.53552,1.16077,0.92264,0.90438,0.94605,0.63839,1.17853,0.54634,1.18034,0.0008092,0.0008092,0.0008092
94,13524.1,1.01122,0.52824,1.15606,0.92221,0.90301,0.94574,0.63825,1.17873,0.54627,1.18067,0.0007093,0.0007093,0.0007093
95,13664.2,1.0093,0.52187,1.15578,0.92227,0.90305,0.94561,0.6378,1.17835,0.5463,1.18044,0.0006094,0.0006094,0.0006094
96,13804.6,1.0007,0.51906,1.15281,0.92403,0.9013,0.94576,0.6375,1.17862,0.54622,1.18101,0.0005095,0.0005095,0.0005095
97,13945.1,1.00203,0.51716,1.14697,0.92654,0.90036,0.94564,0.63719,1.17898,0.54606,1.18099,0.0004096,0.0004096,0.0004096
98,14085.4,1.0027,0.51301,1.15046,0.92735,0.89954,0.9455,0.63705,1.17935,0.54584,1.18088,0.0003097,0.0003097,0.0003097
99,14226.1,0.9995,0.51173,1.14792,0.9276,0.89824,0.94525,0.63696,1.17978,0.54579,1.18084,0.0002098,0.0002098,0.0002098
100,14366.6,0.99468,0.50924,1.14533,0.92881,0.89733,0.9453,0.6369,1.17969,0.54578,1.18076,0.0001099,0.0001099,0.0001099
